,city,x,y
0,Adana,14,-171
1,Adıyaman,228,-75
2,Afyonkarahisar,-402,5
3,Ağrı,619,138
4,Aksaray,-131,-37
5,Amasya,21,222
6,Ankara,-233,134
7,Antalya,-382,-161
8,Ardahan,572,280
9,Artvin,497,277
10,Aydın,-614,-77
11,Balıkesir,-615,113
12,Bartın,-236,305
13,Batman,488,-66
14,Bayburt,375,177
15,Bilecik,-434,153
16,Bingöl,424,57
17,Bitlis,553,-5
18,Bolu,-302,203
19,Burdur,-450,-117
20,Bursa,-515,158
21,Çanakkale,-697,172
22,Çankırı,-171,211
23,Çorum,-69,198
24,Denizli,-523,-93
25,Diyarbakır,397,-47
26,Düzce,-332,237
27,Edirne,-697,353
28,Elazığ,291,6
29,Erzincan,296,123
30,Erzurum,487,174
31,Eskişehir,-384,112
32,Gaziantep,174,-169
33,Giresun,247,222
34,Gümüşhane,315,186
35,Hakkari,719,-71
36,Hatay,72,-236
37,Iğdır,691,168
38,Isparta,-370,-87
39,Istanbul,-522,278
40,Izmir,-682,-15
41,Kahramanmaraş,126,-74
42,Karabük,-230,256
43,Karaman,-185,-166
44,Kars,609,222
45,Kastamonu,-139,298
46,Kayseri,24,1
47,Kilis,138,-186
48,Kırıkkale,-146,115
49,Kırklareli,-637,333
50,Kırşehir,-108,72
51,Kocaeli,-444,245
52,Konya,-249,-61
53,Kütahya,-478,75
54,Malatya,205,-2
55,Manisa,-612,25
56,Mardin,455,-128
57,Mersin,-125,-204
58,Muğla,-583,-145
59,Muş,516,48
60,Nevşehir,-61,7
61,Niğde,-58,-83
62,Ordu,166,231
63,Osmaniye,69,-154
64,Rize,425,259
65,Sakarya,-397,210
66,Samsun,44,264
67,Şanlıurfa,305,-147
68,Siirt,553,-52
69,Sinop,-46,313
70,Sivas,145,100
71,Şırnak,597,-97
72,Tekirdağ,-645,276
73,Tokat,87,191
74,Trabzon,343,244
75,Tunceli,325,76
76,Uşak,-507,-4
77,Van,669,1
78,Yalova,-501,216
79,Yozgat,-11,106
80,Zonguldak,-288,278
